<html>
<head>
<title>Jeremian 46	</title>
</head>
<body><div class="chaptertitle">Jeremian 46	</div>
	
<div class="versenum">1.</div> Tama on Herran sana, joka tapahtui propheta Jeremialle, pakanoita vastaan,	

<div class="versenum">2.</div> Egyptia vastaan, Pharao Nekon, Egyptin kuninkaan, joukkoa vastaan, joka on Phratin virran tykona Karkemiksessa, jonka Nebukadnetsar, Babelin kuningas, loi neljantena Jojakimin Josian pojan, Juudan kuninkaan, vuonna.	

<div class="versenum">3.</div> Valmistakaat kilpi ja keihas, ja lahtekaat sotaan.	

<div class="versenum">4.</div> Valjastakaat hevoset, ja antakaat ratsastajat astua hevosten selkaan; pankaat rautalakit paahanne, teroittakaat keihaat, pukekaat rauthame yllenne.	

<div class="versenum">5.</div> Mutta kuinka mina naen heidat epailevaiseksi ja takaperin ajetuksi, ja heidan sankarinsa lyodyksi; he pakenevat, niin etteivat he katso taaksensa, hammastys on joka taholta, sanoo Herra.	

<div class="versenum">6.</div> Nopsa ei taida paeta eika vakeva paasta: pohjaan pain Phratin virran tykona ovat he kaatuneet ja maahan lyodyt.	

<div class="versenum">7.</div> Kussa on nyt se, joka tanne menee ylos niinkuin virta? ja hanen aaltonsa nousevat kuin virrat?	

<div class="versenum">8.</div> Egypti menee ylos niinkuin virta, ja hanen aaltonsa nostavat itsensa niinkuin virrat, ja sanoo: mina tahdon menna ylos, ja peittaa maan, ja havittaa kaupungin ynna niiden kanssa, jotka siina asuvat.	

<div class="versenum">9.</div> Istukaat hevosten paalle, samotkaat lentaen vaunuilla, antakaat sankarit menna ulos, Etiopialaiset ja Lybiasta kilven kantajat, ja ampujat Lydiasta.	

<div class="versenum">10.</div> Silla tama on Herran, Herran Zebaotin paiva, kostopaiva, etta han kostais vihollisiansa: miekan pitaa syoman ja heidan verestansa tayteen tuleman ja juopuman; silla heidan pitaa tuleman Herralle, Herralle Zebaotille teurasuhriksi pohjan maalla, Phratin virran tykona.	

<div class="versenum">11.</div> Mene ylos Gileadiin ja tuo voidetta, sina neitsy, Egyptin tytar; mutta se on turha, ettas paljon parannusta etsit, et sina kuitenkaan tule terveeksi.	

<div class="versenum">12.</div> Sinun hapys on tullut tiettavaksi pakanain seassa, sinun valitustas on maa taynnansa; silla toinen sankari kaatuu toisen paalle, ja molemmat makaavat yhdessa ylosalaisin.	

